path,title,artist,album,year,duration_ms
Vato Gonzalez - Triplets Riddim (Original Mix).mp3,Triplets Riddim,Vato Gonzalez,,,297874
Vicetone - Lowdown (OUT NOW).mp3,Lowdown,Vicetone,,,57966
Wolfgang Gartner - Wolfgang's 5th Symphony in ORIGINAL MIX [HD 720p].mp3,Wolfgang's 5th Symphony in ORIGINAL MIX,Wolfgang Gartner,,,443820
Worakls - Question Réponse.mp3,Question Réponse,Worakls,,,366420
Yeah Yeah Yeahs - Heads Will Roll (A-Trak remix).mp3,Heads Will Roll (A-Trak remix),Yeah Yeah Yeahs,,,204016
Ylvis - The Fox (What Does The Fox Say) [Official music video HD] - Copy (1).mp3,The Fox (What Does The Fox Say) - Copy (1),Ylvis,,,224862
Ylvis - The Fox (What Does The Fox Say) [Official music video HD].mp3,The Fox (What Does The Fox Say),Ylvis,,,224862
Yves V & Blasterjaxx - That Big (Original Mix).mp3,That Big,Yves V & Blasterjaxx,,,395651
Yves V & Blasterjaxx - That Big (OUT NOW).mp3,That Big,Yves V & Blasterjaxx,,,229904
Zedd - Clarity (feat. Foxes).mp3,Clarity (feat. Foxes),Zedd,,,271700
Zoo Brazil feat. Rasmus Kellerman - There Is Hope.mp3,There Is Hope,Zoo Brazil feat. Rasmus Kellerman,,,365819
Favorites/2Pac feat. Kurupt - Still Ballin' (Lucas Chambon Remix).mp3,Still Ballin' (Lucas Chambon Remix),2Pac feat. Kurupt,,,288287
Favorites/Acris & Infra - Synergy - Copy (1).mp3,Synergy - Copy (1),Acris & Infra,,,180010
Favorites/Acris & Infra - Synergy.mp3,Synergy,Acris & Infra,,,180010
Favorites/Afrojack - Rock The House (Official Music Video).mp3,Rock The House,Afrojack,,,305633
Favorites/Anthony Rother - Father.mp3,Father,Anthony Rother,,,391184
Favorites/ATB - You're Not Alone - HQ.mp3,You're Not Alone,ATB,,,210730
Favorites/Audio Bullys - Shot You Down ft. Nancy Sinatra.mp3,Shot You Down ft. Nancy Sinatra,Audio Bullys,,,219533
Favorites/AuRa & CamelPhat - Panic Room.mp3,Panic Room,AuRa & CamelPhat,,,213185
Favorites/Bag Raiders - Shooting Stars (Official Video).mp3,Shooting Stars,Bag Raiders,,,231654
Favorites/Bassjackers vs Breathe Carolina & Apek - The Fever (Official Music Video).mp3,The Fever,Bassjackers vs Breathe Carolina & Apek,,,213656
Favorites/Benny Benassi & SOFI TUKKER - Everybody Needs A Kiss (Official Video) [Ultra Music].mp3,Everybody Needs A Kiss [Ultra Music],Benny Benassi & SOFI TUKKER,,,219011
Favorites/BICEP  GLUE (Official Video).mp3,BICEP GLUE,,,,285048
Favorites/Blasterjaxx ft. UHRE - Bizarre (Boye & Sigvardt Remix) [Official Audio].mp3,Bizarre (Boye & Sigvardt Remix),Blasterjaxx ft. UHRE,,,182570
Favorites/BLR & SBNC - Varca.mp3,Varca,BLR & SBNC,,,206106
Favorites/BLR x Rave & Crave - Taj (Official Music Video).mp3,Taj,BLR x Rave & Crave,,,226090
Favorites/Bonobo  7th Sevens.mp3,Bonobo 7th Sevens,,,,307357
Favorites/Bonobo  No Reason (feat. Nick Murphy).mp3,Bonobo No Reason (feat. Nick Murphy),,,,243644
"Favorites/Bougenvilla, Albert Neve & David Puentez - No Matter What (Official Music Video).mp3",No Matter What,"Bougenvilla, Albert Neve & David Puentez",,,164206
Favorites/Brandon Flowers - I Can Change (Lyric Video) - Copy (1).mp3,I Can Change - Copy (1),Brandon Flowers,,,260624
Favorites/Brandon Flowers - I Can Change (Lyric Video) - Copy (2).mp3,I Can Change - Copy (2),Brandon Flowers,,,260624
Favorites/Brandon Flowers - I Can Change (Lyric Video).mp3,I Can Change,Brandon Flowers,,,260624
Favorites/Breathe Carolina & Bassjackers feat. CADE - Can't Take It (Official Music Video) - Copy (1).mp3,Can't Take It - Copy (1),Breathe Carolina & Bassjackers feat. CADE,,,192287
Favorites/Breathe Carolina & Bassjackers feat. CADE - Can't Take It (Official Music Video).mp3,Can't Take It,Breathe Carolina & Bassjackers feat. CADE,,,192287
Favorites/Breathe Carolina - Stay (ft. Sophie and the Bom Boms).mp3,Stay (ft. Sophie and the Bom Boms),Breathe Carolina,,,203363
"Favorites/Brieftauben,Pigeons,Gołębie-Gebr. Janssen.mp3","Brieftauben,Pigeons,Gołębie-Gebr. Janssen",,,,205140
Favorites/Brooks & GRX - Boomerang (Official Video).mp3,Boomerang,Brooks & GRX,,,195448
Favorites/Calippo - Down With You.mp3,Down With You,Calippo,,,189440
Favorites/CALIPPO - Mesa verde [Official] - Copy (1).mp3,Mesa verde - Copy (1),CALIPPO,,,232620
Favorites/CALIPPO - Mesa verde [Official].mp3,Mesa verde,CALIPPO,,,232620
Favorites/Calvin Harris - Thinking About You ft. Ayah Marar.mp3,Thinking About You ft. Ayah Marar,Calvin Harris,,,276532
Favorites/Calvo feat. Gigi - Made For Us.mp3,Made For Us,Calvo feat. Gigi,,,165486
Favorites/CamelPhat & Elderbrook - Cola (Radio Edit).mp3,Cola,CamelPhat & Elderbrook,,,228153
Favorites/Camelphat & Elderbrook ‘Cola’.mp3,Camelphat & Elderbrook ‘Cola’,,,,415687
Favorites/Caribou - Your Love Will Set You Free (c2's Set U Free Remix).mp3,Your Love Will Set You Free (c2's Set U Free Remix),Caribou,,,402312
Favorites/Cedric Gervais & Willy Monfret - Make Me Feel (Radio Edit).mp3,Make Me Feel,Cedric Gervais & Willy Monfret,,,211618
Favorites/Charlie Puth - How Long (EDX's Dubai Skyline Remix).mp3,How Long (EDX's Dubai Skyline Remix),Charlie Puth,,,192731
Favorites/Cheat Codes x Kris Kross Amsterdam - SEX (Official Music Video).mp3,SEX,Cheat Codes x Kris Kross Amsterdam,,,257254
Favorites/Chocolate Puma x Pep & Rash - The Stars Are Mine (Official Music Video) - Copy (1).mp3,The Stars Are Mine - Copy (1),Chocolate Puma x Pep & Rash,,,259344
Favorites/Chocolate Puma x Pep & Rash - The Stars Are Mine (Official Music Video).mp3,The Stars Are Mine,Chocolate Puma x Pep & Rash,,,259344
Favorites/Chris Malinchak - So Good To Me.mp3,So Good To Me,Chris Malinchak,,,309838
Favorites/CID & Kaskade – Sweet Memories (Extended Mix) - Copy (1).mp3,Copy (1),CID & Kaskade – Sweet Memories,,,265221
Favorites/CID & Kaskade – Sweet Memories (Extended Mix).mp3,CID & Kaskade – Sweet Memories,,,,265221
Favorites/CID - Love Is Blind (Official Music Video).mp3,Love Is Blind,CID,,,203703
Favorites/Codec & Flexor - Motions.mp3,Motions,Codec & Flexor,,,333087
Favorites/Codec & Flexor - Time Has Changed.mp3,Time Has Changed,Codec & Flexor,,,407693
Favorites/Dada Life - Do It Till Your Face Hurts (Music Video).mp3,Do It Till Your Face Hurts (Music Video),Dada Life,,,174367
"Favorites/Daft Punk - Around the World  Harder, Better, Faster, Stronger (Official audio) - Copy (1).mp3","Around the World Harder, Better, Faster, Stronger - Copy (1)",Daft Punk,,,342596
"Favorites/Daft Punk - Around the World  Harder, Better, Faster, Stronger (Official audio) - Copy (2).mp3","Around the World Harder, Better, Faster, Stronger - Copy (2)",Daft Punk,,,342596
