path,title,artist,album,year,duration_ms,spotify_track_id,spotify_url,match_score,match_title,match_artist
Favorites/Dimitri Vegas & Like Mike - Wakanda (Original).mp3,Wakanda (Original),Dimitri Vegas & Like Mike,,,300173,7M2t0mMSjLJSweu8BwrY2R,https://open.spotify.com/track/4QEcp9HHE6pt1jhnbyslmB,0.877,We Love Hardcore,"Scooter, Dimitri Vegas & Like Mike"
Favorites/Disclosure - Magnets (A-Trak Remix) ft. Lorde.mp3,Magnets (A-Trak Remix) ft. Lorde,Disclosure,,,261616,2M0wZ9iOCsul9PgKCHnIWT,https://open.spotify.com/track/3b3igWaIojag3xv4V6Hv0i,0.977,Coast To Coast,Dagny
Favorites/DJ Tonka - She Knows You.mp3,She Knows You,DJ Tonka,,,249417,2ZutwHq1MfsYW1zBeySdb5,https://open.spotify.com/track/2ZutwHq1MfsYW1zBeySdb5,0.7,She Knows You - Radio Mix,DJ Tonka
Favorites/Don Diablo - You Can't Change Me  Official Music Video.mp3,You Can't Change Me Official Music Video,Don Diablo,,,186776,7vAVQMCwSKEVmol4wJvqUO,https://open.spotify.com/track/0BHNkpGmcexaGyUHDZCQXG,0.925,Monster,"Don Diablo, Felix Jaehn"
Favorites/Duke Dumont - The Giver (Original Mix).mp3,The Giver,Duke Dumont,,,389904,61oc0YJC5qSOXTxFD2Fzmd,https://open.spotify.com/track/61oc0YJC5qSOXTxFD2Fzmd,1,The Giver,Duke Dumont
Favorites/Dzeko ft. TOKA-J - Heart Speak (Official Lyric Video).mp3,Heart Speak,Dzeko ft. TOKA-J,,,184451,6ddbcITK6wv722TRxt4W2L,https://open.spotify.com/track/6ddbcITK6wv722TRxt4W2L,0.65,Heart Speak (feat. TOKA-J),"Dzeko, TOKA-J"
Favorites/EDX - Bloom (Official Music Video).mp3,Bloom,EDX,,,209894,0IvCciR4PxDgL0DDZcp5mf,https://open.spotify.com/track/0IvCciR4PxDgL0DDZcp5mf,0.95,Bloom,EDX
Favorites/EDX - Feel The Rush (Official Video HD).mp3,Feel The Rush,EDX,,,220212,02zaBtH0nEodWFhh8EAccA,https://open.spotify.com/track/02zaBtH0nEodWFhh8EAccA,0.9,Feel the Rush,EDX
Favorites/EDX - Roadkill (EDX's Ibiza Sunrise Remix) [Official Music Video] - Copy (1).mp3,Roadkill (EDX's Ibiza Sunrise Remix) - Copy (1),EDX,,,205662,6z0l4NHQdQ7UebRlJoHC8j,https://open.spotify.com/track/4teVxBLNOD6ydaFDREymEg,0.778,Rear View,Moyka
Favorites/EDX - Roadkill (EDX's Ibiza Sunrise Remix) [Official Music Video].mp3,Roadkill (EDX's Ibiza Sunrise Remix),EDX,,,205662,3LBdmR3UVTvk2LLY9q7Wsp,https://open.spotify.com/track/3LBdmR3UVTvk2LLY9q7Wsp,0.7,Roadkill - EDX's Ibiza Sunrise Remix,EDX
